feat,importance
mfcc_15,153.4615385
mfcc_5,148.1538462
mfcc_2,122.5384615
num_peaks_10,103.5384615
mfcc_14,99.30769231
mfcc_17,90.92307692
mfcc_4,90.53846154
min_roll_std_10000,89.07692308
autocorrelation_5,85.69230769
mean_change_rate,84.69230769
mfcc_0,82.30769231
percentile_roll_std_10,76.84615385
percentile_roll_std_5,75.84615385
mfcc_11,73.84615385
mfcc_13,73.76923077
min_roll_std_100,73.15384615
mfcc_16,72.76923077
mfcc_12,72
min_roll_std_50,71.84615385
percentile_roll_std_1,71.76923077
mfcc_7,68.07692308
mfcc_18,66.69230769
mfcc_9,66.61538462
min_roll_std_500,66
mfcc_19,65.92307692
mfcc_8,65.61538462
classic_sta_lta6_mean,63.23076923
fftr_min_roll_std_500,60.84615385
classic_sta_lta7_mean,59.07692308
mfcc_6,58.23076923
mfcc_1,56.38461538
min_roll_std_1000,56.07692308
fftr_percentile_roll_mean_1,54.92307692
fftr_percentile_roll_std_80,54.53846154
percentile_roll_std_20,54.23076923
ffti_range_-3000_-2000,54.07692308
mfcc_3,53.69230769
fftr_c3_1000,52.69230769
ffti_percentile_roll_std_50,52.23076923
mean_change_rate_first_50000,51.23076923
ffti_kstat_3,50.15384615
fftr_percentile_roll_std_75,49.30769231
percentile_roll_std_60,49.30769231
ffti_mean_last_50000,49
ffti_time_rev_asym_stat_10,48.46153846
ffti_av_change_abs_roll_std_10,47.69230769
fftr_binned_entropy_95,47.30769231
ffti_percentile_roll_std_75,46.76923077
fftr_mean_change_rate_last_50000,46.76923077
autocorrelation_1000,46.46153846
fftr_percentile_roll_mean_10,46.07692308
fftr_percentile_roll_mean_5,46.07692308
mean_change_rate_first_1000,46
mfcc_10,45.92307692
ffti_percentile_roll_std_80,45.61538462
mean_change_rate_first_10000,45.53846154
classic_sta_lta5_mean,45.07692308
fftr_binned_entropy_90,44.84615385
fftr_spkt_welch_density_10,44.61538462
fftr_percentile_roll_std_70,44.23076923
ffti_av_change_abs_roll_std_100,44.07692308
fftr_mean_change_rate_first_50000,44.07692308
ffti_c3_500,43.30769231
percentile_roll_std_70,43.30769231
fftr_percentile_roll_std_25,43.07692308
ffti_mean_change_rate_first_50000,42.07692308
ffti_c3_100,41.53846154
num_peaks_50,41.30769231
kstat_3,41.07692308
ffti_av_change_abs_roll_std_50,41
mean_change_rate_last_50000,40.92307692
num_crossing_0,40.84615385
binned_entropy_5,40.61538462
fftr_mean_change_rate_first_10000,40.46153846
ffti_mean_first_50000,40.23076923
ffti_av_change_abs_roll_std_10000,39.69230769
percentile_roll_std_25,39.61538462
ffti_abs_percentile_1,39.53846154
fftr_fft_3_imag,39.38461538
range_0_1000,39.15384615
ffti_c3_5,38.76923077
exp_Moving_average_50000_std,38.61538462
ffti_time_rev_asym_stat_1000,38.61538462
ffti_spkt_welch_density_10,38.53846154
fft_2_real,38.23076923
fftr_abs_max_roll_mean_10000,38.23076923
std_roll_mean_1000,38.07692308
c3_100,38
ffti_min_roll_std_10,38
ffti_autocorrelation_50,37.76923077
fftr_spkt_welch_density_5,37.69230769
fftr_time_rev_asym_stat_50,37.69230769
fftr_range_-4000_-3000,37.61538462
ffti_min_roll_std_50,37.53846154
percentile_roll_std_75,37.38461538
spkt_welch_density_100,37.15384615
fftr_autocorrelation_50,37.07692308
ffti_mean_change_rate_last_1000,36.69230769
fftr_num_peaks_50,36.69230769
percentile_roll_std_40,36.53846154
fft_5_imag,36.38461538
ffti_range_3000_4000,36.23076923
fftr_c3_10000,36
fftr_mean_change_rate_last_10000,35.92307692
fftr_num_peaks_20,35.61538462
ffti_hmean,35.53846154
ffti_min_roll_std_10000,35.46153846
fftr_percentile_roll_mean_95,35.46153846
fftr_binned_entropy_99,35.38461538
ffti_percentile_roll_std_25,35.15384615
fftr_fft_5_imag,35.15384615
autocorrelation_10000,35.07692308
spkt_welch_density_1,35.07692308
fft_5_angle,34.84615385
ffti_time_rev_asym_stat_10000,34.84615385
ffti_min_roll_std_100,34.76923077
ffti_percentile_roll_std_30,34.76923077
c3_5,34.69230769
exp_Moving_average_30000_std,34.61538462
fftr_percentile_roll_std_50,34.46153846
ffti_percentile_roll_std_1,34.38461538
ffti_mean,34.30769231
ffti_percentile_roll_mean_50,34.30769231
ffti_c3_5000,34.15384615
fftr_mean_change_rate_first_1000,34.15384615
ffti_av_change_abs_roll_std_1000,34.07692308
fftr_min_roll_mean_10000,34.07692308
fftr_autocorrelation_5000,33.92307692
classic_sta_lta1_mean,33.61538462
ffti_time_rev_asym_stat_100,33.61538462
fftr_binned_entropy_80,33.53846154
