NN_zero_crossings_denoise,NN_LGBM_percentile_roll20_std_50,NN_q95_roll20_std,NN_LGBM_mfcc_mean4,NN_lib_spectral_contrast0,NN_num_peaks_3_denoise,NN_mfcc_mean_denoise_simple2,NN_mfcc_mean5,NN_mfcc_mean2,NN_mfcc_mean_denoise_simple5,NN_absquant95,NN_median_roll50_std_denoise_simple,NN_mfcc_mean_denoise_simple1,NN_quant99,NN_lib_zero_cross_rate_denoise_simple,NN_fftr_max_denoise,NN_abssumgreater15,NN_LGBM_mfcc_mean18,NN_lib_spectral_contrast_denoise_simple2,NN_fftr_sum,NN_mfcc_mean_denoise_simple10,LGBM_num_peaks_2_denoise_simple,LGBM_autocorr5,LGBM_fftrhann20000_diff_rate,start,target
6358,3.12864638,8.272582366,-11.36905781,12.33111593,4266,-103.7258206,5.279485792,-27.98462608,-23.84708896,8.87743369,1.001665923,89.83644128,13.3602528,0.057902157,23122.59161,55309.79394,-1.778087542,12.73377552,94752309.79,-21.80088124,6210,-0.103440924,0.236004308,0,1.430797186
6528,3.131334558,9.536797001,-11.02753573,11.64264461,4295,-97.81282417,5.637204959,-28.43583721,-23.12039366,9.815472574,0.996413584,91.55190702,15.79822985,0.058467097,29987.95878,96048.88472,-2.464462001,12.39347238,110339426.5,-16.50837933,6116,-0.060506279,0.157104621,150000,1.391498893
7164,3.257678124,12.15618791,-12.87397008,11.81941303,4747,-99.88955544,5.274317388,-28.32121614,-21.66328095,11.84099554,1.485347358,101.2397736,20.69441651,0.064216484,32428.73531,139992.9683,-2.721901781,12.79628758,114683588.1,-20.84262205,6748,-0.057303978,0.177514945,300000,1.353196095
6532,3.153203964,9.925465277,-11.22847548,12.13775632,4354,-92.16725029,5.420135878,-27.56979533,-19.73279633,9.978620915,1.249804917,93.66506318,16.79108927,0.059145358,29784.48806,108864.7012,-2.21543408,12.72378634,112930405.2,-13.95989096,6259,-0.014700872,0.109727832,450000,1.313797802
6078,3.14470805,10.59050939,-11.58615449,11.12150658,4135,-95.03409204,4.199385329,-26.78366178,-26.6132217,10.87983786,1.175252834,99.71398455,20.5772685,0.057010586,27955.89437,140431.1404,-2.786946343,12.46600206,118330655.3,-18.773857,6230,0.113698272,0.086932238,600000,1.274399509
6566,3.170040744,8.957211965,-11.43942637,12.56529809,4577,-106.0243039,5.31511834,-29.18390801,-27.76122365,9.235364829,1.245012835,100.1458686,14.41223356,0.059257013,22195.89093,69219.41304,-2.519709689,12.55166438,98552873.75,-25.5512339,6436,-0.126249826,0.16738776,750000,1.236096711
6984,3.17866178,10.47828007,-11.26978059,11.50188925,4442,-105.0465788,6.047446946,-29.76306127,-23.36543848,10.39390485,1.240810416,96.29273083,16.64779445,0.061870067,26693.21368,88282.88828,-2.575174835,12.74881215,101052535.1,-24.12162768,6413,-0.154328212,0.158530988,900000,1.196798418
5498,3.046277721,8.843133852,-10.39014405,11.46800216,3778,-99.03172208,4.484019898,-26.88741937,-23.69257261,8.960562571,0.559681157,98.62785755,15.58395957,0.053329312,28942.5818,87463.43493,-2.283798739,12.40236718,103758701,-22.65797762,5866,-0.099892608,0.226011067,1050000,1.15849562
8028,3.348363257,12.30922641,-12.49660563,11.6765183,5254,-93.75771014,5.588378593,-30.08243076,-18.26593736,12.18435914,1.635276113,98.29389642,20.80955481,0.06890265,41124.4921,153999.0013,-2.513442355,12.77410495,119401318.2,-17.93889634,7254,-0.140753373,0.092291035,1200000,1.119097327
7230,3.247244155,11.1148153,-12.05264235,12.58292755,4837,-98.32069015,4.714935703,-29.38455027,-21.95258623,10.99696629,1.460288565,100.7105538,18.51439616,0.063171595,25547.35374,121554.8742,-2.686752331,13.32128325,115021743.9,-20.33937456,6730,-0.052694925,0.101891309,1350000,1.079699034
6414,3.154935358,9.271875974,-11.35607578,12.29250536,4314,-98.98143993,5.197049392,-28.06063134,-25.95532291,9.680648181,1.145642083,97.20182695,15.57282955,0.058275451,21904.48739,86103.23034,-2.426394048,12.44756814,107314046.5,-20.51734243,6331,0.004105174,0.103102645,1500000,1.041396236
8574,3.503032201,15.67421079,-14.09764635,11.6366727,5468,-82.38811313,4.634419463,-29.5636598,-14.62733382,15.80218851,1.935220934,98.97661247,30.52424687,0.070674128,54156.87438,335384.7285,-2.597142084,12.74504611,195706652.4,-11.88387192,7299,0.12033288,0.069063803,1650000,1.001997943
7766,3.345652397,13.41136455,-14.10146004,11.91314989,5123,-92.42125349,4.184034442,-29.44642194,-20.96320239,13.13836723,1.611163343,102.1105335,23.50698055,0.065794649,32753.22261,189638.3532,-2.000217084,12.87928464,132562808.9,-18.87363163,6873,0.032700996,0.093203067,1800000,0.96269965
6968,3.22134485,10.29815208,-12.11183897,11.96571428,4629,-102.7133149,5.018891798,-29.01146448,-23.83733262,10.58522066,1.423099588,98.96394082,16.73073387,0.062036716,20633.92037,92635.62844,-2.146148345,12.53266285,106211181.4,-22.87877209,6521,-0.005235331,0.108878717,1950000,0.924396852
6104,3.081711016,8.484389414,-10.56108621,11.5745366,4031,-101.2269299,5.204577924,-27.14591533,-23.5440126,9.004678536,0.679529429,97.39156357,14.18185252,0.055392425,19750.35053,68527.68911,-2.275949347,12.49109834,99619646.35,-23.49467102,5905,-0.078906557,0.243873455,2100000,0.884998559
7486,3.290010348,10.80914411,-12.87999256,11.71677232,4949,-100.3484074,5.222892102,-29.2057621,-22.7244008,10.70345452,1.513291724,101.6703416,17.61746449,0.066889532,25983.14678,106526.6947,-2.096512928,12.91641641,109427486.6,-22.57357913,7015,-0.061543407,0.11369915,2250000,0.84669576
6492,3.166809196,9.991940157,-11.31902014,12.45596273,4475,-93.35378305,4.815437009,-27.27807595,-21.32310691,10.06592287,1.285446143,97.19683519,17.59154643,0.057542195,22249.92714,108905.1074,-1.965432742,12.2044325,110371852.6,-20.0494004,6350,0.010562228,0.121183326,2400000,0.807297468
7130,3.207640161,9.890274896,-12.03542191,11.51437457,4630,-97.3030316,4.392939408,-27.63246225,-23.88717598,10.21022603,1.435497652,101.5038849,16.76878917,0.062706645,27066.65119,95635.76925,-2.403366099,12.61560378,105124067.7,-22.46581678,6590,-0.090472614,0.171328083,2550000,0.767999175
7424,3.275175317,12.329541,-11.74666134,12.57397168,4947,-98.96213924,5.806660723,-29.71992478,-18.18191745,11.72910852,1.492819808,96.69187355,19.93117396,0.06515305,32721.81437,134324.2319,-2.362166423,12.31189784,112244805,-19.80850064,6955,-0.117581541,0.141950919,2700000,0.729696376
6854,3.178527342,12.24867555,-14.18933707,11.1834728,4539,-90.85901456,3.427513247,-26.90604982,-22.38169027,11.76101155,1.372432605,103.2839103,21.57642271,0.060888505,31888.526,149733.033,-2.234373421,12.75114394,118448677,-18.81013081,6370,0.013025147,0.118744162,2850000,0.690298084
8254,3.391914145,12.82890967,-13.66892089,12.07972347,5344,-97.69624891,5.941696161,-30.46225523,-17.76951759,12.84683337,1.705615546,100.3969694,21.27950072,0.070195846,42885.20345,159194.5104,-2.103875426,12.73752004,119883338.7,-21.25043863,7202,-0.080219413,0.094616143,3000000,0.650899791
8078,3.356607354,11.73412242,-13.22269012,11.22352528,5179,-95.06188371,4.313252725,-29.36418635,-21.77743498,11.97700755,1.636409206,96.30456234,21.59455781,0.07074912,30069.87914,162279.8917,-2.93221923,12.72852216,127748321.8,-17.18836705,7193,0.086443959,0.076892925,3150000,0.612596992
7884,3.351426844,12.99168266,-12.96350765,11.43658764,5223,-75.44507028,4.140175898,-27.36861978,-17.07279164,13.27073866,1.631914104,93.37435153,25.32594708,0.067111175,95695.73713,264576.921,-2.40492115,12.88068621,166253307.4,-7.942121865,7041,0.266188747,0.032977125,3300000,0.5732987
7066,3.200421341,10.4998638,-11.41042404,11.11833779,4509,-104.2558484,5.56143438,-28.53740174,-25.07917122,10.36358718,1.385379302,101.5915073,16.63923087,0.063576552,23985.68562,87308.46991,-2.653895087,12.50344489,102136443.6,-25.88815135,6614,-0.09287706,0.164351923,3450000,0.534995901
7058,3.22216776,9.250350427,-11.57244054,12.17840103,4746,-101.0389205,5.490193089,-28.39583699,-23.8931276,9.660082194,1.465049641,100.0854275,14.85606853,0.064031503,19922.05912,68529.32917,-1.783896209,12.5029106,97765683.73,-24.20397882,6879,-0.122228962,0.190446843,3600000,0.495597608
7268,3.247976442,11.327331,-12.20681826,11.67131857,4770,-100.7753497,4.899035939,-29.32109079,-23.09102499,11.15555163,1.469815629,100.9328404,18.43071599,0.065331365,29263.87455,119412.9444,-2.110255988,12.74954547,112595691,-23.23302984,6785,-0.076723263,0.113914499,3750000,0.456199316
6566,3.172018304,10.32532001,-12.1983037,11.45517248,4341,-96.74521884,4.447695991,-26.99972438,-24.87614461,10.24266338,1.295487808,102.8452512,18.02859002,0.060850176,24551.70028,109280.2286,-2.569202842,12.60962921,109967305.8,-23.10099781,6400,-0.011030324,0.138309422,3900000,0.417896517
6472,3.164772139,9.970375491,-11.01811191,12.25379816,4291,-98.10891822,5.655727999,-29.07581133,-20.63723143,9.979185606,1.194220399,92.90386986,15.88750634,0.059721963,27509.19974,87477.8787,-2.114517139,12.43595431,101696351.6,-17.88711294,6348,-0.137902413,0.208653444,4050000,0.378498224
7342,3.252777148,9.854385928,-11.71429116,11.80315808,4829,-92.8575034,5.604682032,-28.51494726,-21.09299123,10.35149676,1.465728325,97.93948559,16.28883679,0.064411463,31153.01084,101036.4493,-1.839211102,12.66095505,112285621.6,-17.96455081,6700,-0.048644431,0.23200048,4200000,0.339199932
10332,4.536290182,63.64720322,-12.04060904,13.19519908,6424,-42.64642702,5.25006226,-34.9558844,-0.293200182,64.27144348,3.65730617,74.20260491,202.2730557,0.082749507,566013.8972,3261939.866,-1.891563295,12.59457168,1391669009,0.278444394,8189,0.405566515,0.000368263,4350000,0.300897133
11356,4.021573353,16.40880324,-13.32335218,12.78298077,6988,-102.9670116,7.962665505,-38.60145948,-16.56298183,16.17566135,2.845145625,95.89510303,25.68147037,0.090863641,48385.02646,236160.3622,-2.85965081,12.99384653,129692373.8,-20.60056501,8767,-0.177495052,0.095734284,4500000,0.26149884
8138,3.328995585,9.774195507,-10.86916223,12.01267887,5220,-104.034999,7.133127433,-33.40409672,-23.45808329,10.09959589,1.555953607,87.74289966,16.94102202,0.072900557,41775.4786,110232.2089,-3.051236423,12.40567052,112913294.9,-18.72093076,7379,-0.175410599,0.093894377,4650000,0.223196042
4560,2.95642753,6.055448616,-7.807499085,12.15998612,3095,-113.4133254,5.644353493,-26.86399038,-31.06462131,7.173697206,0.051205728,86.48876074,9.65745375,0.046884999,14203.35892,16010.22248,-1.938779746,12.07345823,81853240.31,-25.75154248,5225,-0.147887173,0.316488672,4800000,0.183797749
2286,2.777262243,4.518591887,-6.854890679,12.34557384,1727,-117.5947564,4.402025888,-22.63830546,-35.27559444,6.131193299,0.002678385,88.70658303,7.69156834,0.029143558,16913.59316,4592.143147,-1.166479385,11.91842207,74350610.47,-28.94207096,3626,-0.114283056,0.560704673,4950000,0.144499456
2468,2.77271986,5.088616024,-7.841792633,12.34934276,1806,-112.1053624,4.625966977,-22.69968152,-27.22891007,6.474249325,0.001950982,77.72208051,8.600107541,0.027568726,15082.87311,19275.60023,-1.708832149,11.64482205,80101181.41,-21.0065834,3314,-0.104870684,0.283559781,5100000,0.106196657
1992,2.741512543,4.503249839,-6.265937484,11.9471538,1363,-108.4285786,4.148087615,-21.95078563,-27.90276229,6.11735707,0.001329317,74.32481327,7.792205145,0.024197419,8952.828954,7387.7131,-0.811183306,10.78896541,75052769.28,-23.17921667,2877,-0.108128717,0.460372177,5250000,0.066798364
1592,2.695511195,4.06036481,-6.841585269,11.53433404,1194,-104.6650975,2.730014717,-20.16392752,-24.20346598,5.848877381,0.001271974,68.50614348,7.238503241,0.020074525,5725.642697,5340.887106,-0.327204205,11.03748935,72887636.29,-20.1567717,2451,-0.085334716,0.712569083,5400000,0.028495566
1986,2.728940304,4.629520712,-6.699855126,11.8512935,1387,-95.55341966,3.899910817,-21.46876121,-19.28658082,6.251220567,0.001683777,62.84525518,8.313467212,0.02424908,10026.55761,23418.25913,-0.955888962,11.03312992,81623444.02,-10.53408298,2871,-0.091864561,0.438138816,5550000,11.53009728
2068,2.738717004,4.547098094,-7.538638466,12.2420797,1480,-89.76954895,3.309441737,-21.69428551,-18.08047844,6.272350264,0.001893581,62.39032136,8.620038341,0.023904117,17607.10873,41288.45294,-0.847524603,11.1021909,89445299.33,-7.267203754,2928,-0.08006086,0.265045598,5700000,11.49079898
