Feature,importance,fold
abs_max,19.0,3
abs_max_roll_mean_100,25.6,3
abs_max_roll_std_100,18.0,3
abs_max_roll_std_1000,12.8,3
abs_max_roll_std_10000,12.0,3
abs_max_roll_std_500,9.8,3
abs_std,2.4,3
abs_trend,23.2,3
autocorrelation_10,36.2,3
autocorrelation_1000,55.4,3
autocorrelation_10000,50.2,3
autocorrelation_5,70.6,3
autocorrelation_500,32.6,3
autocorrelation_5000,54.0,3
av_change_abs_roll_mean_100,21.2,3
av_change_abs_roll_mean_1000,22.2,3
av_change_abs_roll_mean_10000,24.0,3
av_change_abs_roll_mean_500,27.2,3
av_change_abs_roll_std_100,39.6,3
av_change_abs_roll_std_1000,26.0,3
av_change_abs_roll_std_10000,30.4,3
av_change_abs_roll_std_500,34.4,3
av_change_rate_roll_mean_100,18.4,3
av_change_rate_roll_mean_1000,30.0,3
av_change_rate_roll_mean_10000,21.0,3
av_change_rate_roll_mean_500,27.2,3
av_change_rate_roll_std_100,19.6,3
av_change_rate_roll_std_1000,40.4,3
av_change_rate_roll_std_10000,21.6,3
av_change_rate_roll_std_500,26.4,3
ave_roll_std_100,17.4,3
ave_roll_std_10000,13.4,3
classic_sta_lta1_mean,36.6,3
classic_sta_lta2_mean,25.6,3
classic_sta_lta3_mean,27.0,3
classic_sta_lta4_mean,19.2,3
classic_sta_lta5_mean,72.0,3
classic_sta_lta6_mean,64.0,3
classic_sta_lta7_mean,54.0,3
classic_sta_lta8_mean,29.2,3
count_big,0.4,3
exp_Moving_average_30000_std,37.2,3
exp_Moving_average_3000_std,25.8,3
exp_Moving_average_300_std,19.2,3
exp_Moving_average_50000_std,31.6,3
exp_Moving_std_30000_mean,9.6,3
exp_Moving_std_30000_std,11.0,3
exp_Moving_std_3000_mean,9.0,3
exp_Moving_std_3000_std,8.0,3
exp_Moving_std_300_mean,18.8,3
exp_Moving_std_300_std,6.2,3
exp_Moving_std_50000_mean,8.4,3
exp_Moving_std_50000_std,13.0,3
ffti_Hann_window_mean_150,16.0,3
ffti_Hann_window_mean_1500,21.6,3
ffti_Hann_window_mean_15000,24.6,3
ffti_Hann_window_mean_50,20.0,3
ffti_Hilbert_mean,2.6,3
ffti_abs_max,9.2,3
ffti_abs_max_roll_mean_100,12.2,3
ffti_abs_max_roll_mean_1000,17.4,3
ffti_abs_max_roll_mean_10000,16.4,3
ffti_abs_max_roll_mean_500,19.6,3
ffti_abs_max_roll_std_100,10.2,3
ffti_abs_max_roll_std_1000,9.8,3
ffti_abs_max_roll_std_10000,1.2,3
ffti_abs_max_roll_std_500,10.8,3
ffti_abs_mean,2.2,3
ffti_abs_percentile_1,26.6,3
ffti_abs_percentile_10,27.6,3
ffti_abs_percentile_5,35.6,3
ffti_abs_percentile_90,9.6,3
ffti_abs_percentile_95,5.0,3
ffti_abs_percentile_99,3.6,3
ffti_abs_std,1.2,3
ffti_abs_trend,3.0,3
ffti_autocorrelation_10,46.6,3
ffti_autocorrelation_100,34.0,3
ffti_autocorrelation_1000,37.8,3
ffti_autocorrelation_10000,67.8,3
ffti_autocorrelation_5,25.2,3
ffti_autocorrelation_50,53.6,3
ffti_autocorrelation_500,38.8,3
ffti_autocorrelation_5000,46.6,3
ffti_av_change_abs_roll_mean_100,18.4,3
ffti_av_change_abs_roll_mean_1000,16.0,3
ffti_av_change_abs_roll_mean_10000,30.6,3
ffti_av_change_abs_roll_mean_500,17.4,3
ffti_av_change_abs_roll_std_100,42.2,3
ffti_av_change_abs_roll_std_1000,41.6,3
ffti_av_change_abs_roll_std_10000,50.0,3
ffti_av_change_abs_roll_std_500,24.8,3
ffti_ave10,17.0,3
ffti_ave_roll_mean_100,16.4,3
ffti_ave_roll_mean_1000,13.4,3
ffti_ave_roll_mean_10000,22.2,3
ffti_ave_roll_mean_500,17.8,3
ffti_ave_roll_std_100,5.0,3
ffti_ave_roll_std_1000,2.4,3
ffti_ave_roll_std_10000,8.4,3
ffti_ave_roll_std_500,4.4,3
ffti_classic_sta_lta1_mean,9.0,3
ffti_classic_sta_lta2_mean,7.2,3
ffti_classic_sta_lta3_mean,37.2,3
ffti_classic_sta_lta4_mean,6.0,3
ffti_classic_sta_lta5_mean,30.6,3
ffti_classic_sta_lta6_mean,36.2,3
ffti_classic_sta_lta7_mean,38.4,3
ffti_classic_sta_lta8_mean,8.6,3
ffti_count_big,22.0,3
ffti_exp_Moving_average_30000_mean,19.2,3
ffti_exp_Moving_average_30000_std,21.6,3
ffti_exp_Moving_average_3000_mean,17.4,3
ffti_exp_Moving_average_3000_std,16.8,3
ffti_exp_Moving_average_300_mean,21.0,3
ffti_exp_Moving_average_300_std,18.2,3
ffti_exp_Moving_average_50000_mean,18.2,3
ffti_exp_Moving_average_50000_std,19.2,3
ffti_exp_Moving_std_30000_std,2.2,3
ffti_exp_Moving_std_3000_mean,2.0,3
ffti_exp_Moving_std_3000_std,1.0,3
ffti_exp_Moving_std_300_mean,3.8,3
ffti_exp_Moving_std_300_std,2.0,3
ffti_gmean,6.4,3
ffti_iqr,27.8,3
ffti_iqr1,11.6,3
ffti_kstat_2,1.4,3
ffti_kstat_4,6.4,3
ffti_kstatvar_1,0.8,3
ffti_kstatvar_2,5.2,3
ffti_kurt,39.6,3
ffti_mad,2.8,3
ffti_max,17.6,3
ffti_max_first_1000,27.0,3
ffti_max_first_10000,9.2,3
ffti_max_first_50000,8.6,3
ffti_max_last_1000,38.4,3
ffti_max_last_10000,14.6,3
ffti_max_last_50000,11.0,3
ffti_max_roll_mean_100,11.4,3
ffti_max_roll_mean_1000,10.2,3
ffti_max_roll_mean_10000,12.6,3
ffti_max_roll_mean_500,15.8,3
ffti_max_roll_std_100,8.6,3
ffti_max_roll_std_1000,7.4,3
ffti_max_roll_std_10000,2.6,3
ffti_max_roll_std_500,7.8,3
ffti_mean_change_abs,19.8,3
ffti_mean_change_rate_last_1000,25.4,3
ffti_mean_change_rate_last_10000,29.2,3
ffti_mean_change_rate_last_50000,21.4,3
ffti_mean_first_1000,22.2,3
ffti_mean_first_10000,26.2,3
ffti_mean_first_50000,35.8,3
ffti_mean_last_1000,22.4,3
ffti_mean_last_10000,35.2,3
ffti_mean_last_50000,46.0,3
ffti_min,13.0,3
ffti_min_first_1000,30.0,3
ffti_min_first_10000,12.2,3
ffti_min_first_50000,15.0,3
ffti_min_last_1000,26.0,3
ffti_min_last_10000,10.2,3
ffti_min_last_50000,11.4,3
ffti_min_roll_mean_100,10.2,3
ffti_min_roll_mean_1000,13.6,3
ffti_min_roll_mean_10000,19.8,3
ffti_min_roll_mean_500,21.6,3
ffti_min_roll_std_100,29.0,3
ffti_min_roll_std_1000,21.2,3
ffti_min_roll_std_10000,25.2,3
ffti_min_roll_std_500,32.0,3
