ffti_num_peaks_1,ffti_num_peaks_10,ffti_num_peaks_11,ffti_num_peaks_12,ffti_num_peaks_13,ffti_num_peaks_14,ffti_num_peaks_15,ffti_num_peaks_16,ffti_num_peaks_17,ffti_num_peaks_18,ffti_num_peaks_19,ffti_num_peaks_2,ffti_num_peaks_20,ffti_num_peaks_3,ffti_num_peaks_4,ffti_num_peaks_5,ffti_num_peaks_6,ffti_num_peaks_7,ffti_num_peaks_8,ffti_num_peaks_9,ffti_range_-1000_-500,ffti_range_-1500_-1000,ffti_range_-2000_-1500,ffti_range_-2500_-2000,ffti_range_-3000_-2500,ffti_range_-3500_-3000,ffti_range_-4000_-3500,ffti_range_-500_0,ffti_range_0_500,ffti_range_1000_1500,ffti_range_1500_2000,ffti_range_2000_2500,ffti_range_2500_3000,ffti_range_3000_3500,ffti_range_3500_4000,ffti_range_500_1000,fftr_num_peaks_1,fftr_num_peaks_10,fftr_num_peaks_11,fftr_num_peaks_12,fftr_num_peaks_13,fftr_num_peaks_14,fftr_num_peaks_15,fftr_num_peaks_16,fftr_num_peaks_17,fftr_num_peaks_18,fftr_num_peaks_19,fftr_num_peaks_2,fftr_num_peaks_20,fftr_num_peaks_3,fftr_num_peaks_4,fftr_num_peaks_5,fftr_num_peaks_6,fftr_num_peaks_7,fftr_num_peaks_8,fftr_num_peaks_9,fftr_range_-1000_-500,fftr_range_-1500_-1000,fftr_range_-2000_-1500,fftr_range_-2500_-2000,fftr_range_-3000_-2500,fftr_range_-3500_-3000,fftr_range_-4000_-3500,fftr_range_-500_0,fftr_range_0_500,fftr_range_1000_1500,fftr_range_1500_2000,fftr_range_2000_2500,fftr_range_2500_3000,fftr_range_3000_3500,fftr_range_3500_4000,fftr_range_500_1000,num_peaks_1,num_peaks_10,num_peaks_11,num_peaks_12,num_peaks_13,num_peaks_14,num_peaks_15,num_peaks_16,num_peaks_17,num_peaks_18,num_peaks_19,num_peaks_2,num_peaks_20,num_peaks_3,num_peaks_4,num_peaks_5,num_peaks_6,num_peaks_7,num_peaks_8,num_peaks_9,range_-1000_-500,range_-1500_-1000,range_-2000_-1500,range_-2500_-2000,range_-3000_-2500,range_-3500_-3000,range_-4000_-3500,range_-500_0,range_0_500,range_1000_1500,range_1500_2000,range_2000_2500,range_2500_3000,range_3000_3500,range_3500_4000,range_500_1000
50437,6970,6315,5828,5405,5012,4733,4474,4208,4011,3810,29887,3621,21236,16505,13412,11375,9825,8731,7761,20336,7761,3017,1520,881,651,476,38529,38531,7761,3017,1520,881,651,476,20336,50214,6918,6308,5806,5406,5038,4736,4470,4276,4070,3864,29872,3696,21316,16600,13466,11398,9782,8642,7662,20020,7740,3184,1508,928,666,438,37795,38772,7980,3132,1492,882,688,444,20716,31523,5470,5051,4666,4234,3840,3510,3222,2951,2747,2602,19221,2453,13089,10328,8640,7664,6970,6383,5914,0,0,0,0,0,0,0,11570,138430,0,0,0,0,0,0,0
49161,7497,6636,6013,5531,5111,4809,4516,4254,4035,3826,29822,3663,20756,16481,13438,11554,10176,9055,8205,19646,7855,3045,1564,1017,691,576,37604,37604,7855,3045,1564,1017,691,576,19646,49437,7515,6627,5961,5469,5035,4733,4467,4223,4025,3847,29762,3661,20784,16405,13351,11469,10223,9041,8171,20128,7698,3070,1528,1084,790,574,37174,37664,7376,3164,1550,1058,728,654,19883,31292,5474,5092,4711,4300,3880,3558,3264,3011,2813,2644,19041,2522,13055,10217,8596,7552,6828,6314,5864,0,0,0,0,0,0,0,13365,136635,0,0,0,0,0,0,0
49162,7133,6502,5992,5546,5120,4802,4476,4273,4097,3890,29031,3691,21139,16710,13661,11485,9903,8655,7839,19888,7576,3050,1530,996,747,575,37243,37245,7576,3050,1530,996,747,575,19888,49008,7059,6431,5975,5559,5145,4793,4505,4275,4081,3879,29068,3701,21108,16658,13676,11467,9979,8721,7795,19622,7608,3068,1556,1004,834,554,37162,37737,7446,2982,1584,994,784,634,19758,30706,5549,5136,4691,4281,3893,3546,3272,3012,2826,2660,18664,2508,12651,9984,8494,7604,6912,6389,5948,0,0,0,0,0,0,0,14251,135749,0,0,0,0,0,0,0
50657,7187,6557,6104,5590,5171,4835,4536,4331,4037,3856,29681,3681,21579,16487,13642,11601,10013,8910,7825,19815,7534,3084,1553,957,743,615,37545,37547,7534,3084,1553,957,743,615,19815,50807,7172,6554,6080,5582,5208,4862,4582,4340,4042,3866,29607,3668,21733,16458,13584,11702,10010,8866,7778,19508,7502,3014,1662,968,766,622,37692,37253,7604,3076,1534,992,758,558,20198,31320,5458,5019,4617,4188,3827,3509,3220,2988,2799,2644,18959,2510,12976,10263,8592,7537,6836,6314,5868,0,0,0,0,0,0,0,12609,137391,0,0,0,0,0,0,0
51159,7176,6543,6084,5604,5249,4927,4647,4340,4107,3894,29715,3666,21101,16345,13589,11507,9851,8799,7909,19782,7428,2939,1436,942,676,561,37485,37487,7428,2939,1436,942,676,561,19782,50957,7108,6540,6124,5596,5260,4936,4632,4290,4090,3850,29637,3606,21113,16469,13749,11577,9857,8760,7856,19510,7330,2818,1392,908,752,566,37574,37605,7396,3016,1486,918,722,586,19816,31302,5381,4923,4531,4155,3814,3482,3200,2978,2815,2644,18964,2514,12910,10105,8483,7501,6787,6245,5808,0,0,0,0,0,0,0,12822,137178,0,0,0,0,0,0,0
50255,7228,6551,6048,5626,5189,4837,4547,4278,4085,3842,30200,3633,21141,16620,13533,11490,10145,8841,7920,20163,7798,3132,1531,997,693,529,38118,38120,7798,3132,1531,997,693,529,20163,50265,7339,6647,6103,5697,5169,4767,4533,4261,4059,3903,30143,3685,21087,16621,13541,11451,10155,8915,8021,19794,7814,3060,1544,984,686,456,37948,38328,8054,3052,1588,986,662,496,20331,31243,5464,5080,4684,4286,3908,3543,3257,2977,2769,2606,19138,2474,12957,10147,8536,7551,6894,6352,5880,0,0,0,0,0,0,0,11951,138049,0,0,0,0,0,0,0
49908,7213,6564,5977,5581,5085,4774,4524,4278,4078,3898,29842,3687,21553,16693,13491,11591,10139,9037,8078,20031,7761,3137,1621,1025,712,531,37981,37983,7761,3137,1621,1025,712,531,20031,49683,7129,6530,5974,5586,5076,4804,4528,4286,4080,3850,30141,3704,21537,16697,13651,11803,10211,8949,7995,20420,7768,3144,1746,960,756,550,37892,37986,7680,3172,1490,1002,674,484,19845,31042,5618,5238,4789,4380,3975,3626,3311,3042,2847,2653,18756,2516,12909,10151,8587,7634,6946,6423,5983,0,0,0,0,0,0,0,13297,136703,0,0,0,0,0,0,0
48669,7126,6611,6049,5659,5321,4930,4561,4297,4071,3852,29508,3639,21657,16965,13891,11559,9907,8669,7823,20010,7564,3018,1572,1029,742,642,37873,37875,7564,3018,1572,1029,742,642,20010,48425,7068,6626,6106,5678,5318,4958,4592,4328,4102,3904,29556,3690,21640,17016,13820,11488,9800,8640,7752,19896,7606,3204,1550,990,748,596,37704,38103,7632,3116,1528,998,750,598,19880,31692,5491,5061,4619,4248,3895,3573,3288,3023,2838,2674,19453,2540,13434,10521,8796,7747,7008,6389,5931,0,0,0,0,0,0,0,12652,137348,0,0,0,0,0,0,0
50742,7108,6389,5919,5378,5021,4680,4377,4121,3947,3734,30346,3550,21335,16470,13633,11534,10015,8806,7891,19880,7587,2957,1594,999,719,558,37189,37191,7587,2957,1594,999,719,558,19880,50358,7097,6397,5895,5420,5060,4706,4420,4152,3964,3728,30539,3536,21575,16559,13661,11541,10081,8847,7923,20217,7286,2998,1512,1030,724,568,37332,37450,7362,3100,1514,1032,714,568,19666,30363,5586,5173,4744,4337,3901,3548,3200,2943,2750,2582,18254,2452,12384,9849,8367,7490,6858,6394,5987,0,0,0,0,0,0,0,16218,133782,0,0,0,0,0,0,0
49664,7171,6600,6047,5561,5191,4890,4545,4278,4067,3842,30809,3661,20749,16513,13799,11650,9966,8911,7970,19418,7494,3128,1632,1131,830,622,37370,37370,7494,3128,1632,1131,830,622,19418,49631,7109,6501,5991,5455,5157,4885,4529,4281,4101,3885,30857,3707,20813,16667,13865,11619,9999,8879,7921,19600,7450,3040,1576,1078,808,614,37540,37346,7593,3042,1542,1082,850,584,19508,30921,5512,5108,4706,4289,3908,3568,3305,3044,2843,2687,18728,2553,12798,10056,8471,7569,6935,6426,5997,0,0,0,0,0,0,0,14762,135238,0,0,0,0,0,0,0
