num_peaks_10,num_peaks_11,num_peaks_12,num_peaks_8,num_peaks_9
5469,5048,4663,6383,5913
5458,5077,4698,6301,5849
5545,5126,4681,6387,5945
5452,5005,4600,6304,5860
5373,4913,4523,6241,5802
5456,5074,4677,6345,5871
5612,5229,4779,6423,5979
5486,5056,4613,6385,5927
5557,5143,4714,6373,5962
5493,5087,4686,6414,5984
5562,5117,4697,6427,5970
5460,5109,4665,6206,5818
5545,5175,4742,6360,5928
5407,4988,4573,6303,5840
5362,4979,4609,6261,5795
5617,5219,4795,6443,6005
5513,5111,4642,6381,5957
5381,5012,4590,6301,5798
5602,5184,4754,6435,6026
5425,5017,4639,6259,5828
5577,5201,4766,6403,5973
5465,5055,4675,6316,5883
5534,5108,4709,6294,5893
5516,5122,4637,6386,5925
5507,5124,4732,6359,5918
5555,5134,4704,6392,5976
5461,5005,4576,6337,5899
5529,5129,4752,6384,5913
5465,5103,4674,6304,5916
5759,5370,4962,6478,6117
5893,5478,5048,6674,6281
5604,5204,4780,6463,5970
5417,5015,4607,6392,5878
5213,4771,4372,6310,5725
5246,4847,4464,6273,5704
5230,4757,4343,6381,5749
5081,4676,4309,6171,5582
5166,4705,4313,6264,5658
5184,4760,4382,6239,5667
5241,4807,4411,6324,5735
5087,4638,4267,6238,5619
5208,4766,4324,6288,5699
5210,4761,4389,6260,5671
5195,4700,4297,6264,5680
5131,4713,4359,6204,5609
5153,4760,4373,6268,5642
5169,4719,4363,6292,5676
5155,4724,4320,6263,5692
5128,4725,4343,6247,5605
5096,4652,4280,6242,5602
5160,4728,4342,6291,5672
5216,4796,4391,6260,5699
5154,4712,4318,6289,5660
5184,4754,4370,6266,5659
5058,4648,4274,6187,5596
5189,4772,4394,6292,5708
5194,4731,4332,6281,5667
5109,4664,4301,6189,5611
5061,4610,4203,6169,5545
5095,4633,4228,6131,5568
5122,4661,4297,6201,5629
5071,4641,4217,6232,5625
5100,4649,4296,6238,5636
5132,4681,4311,6238,5646
5254,4813,4429,6343,5753
5119,4680,4303,6195,5633
5202,4769,4350,6259,5706
5208,4765,4377,6303,5733
5298,4889,4491,6310,5762
5177,4752,4371,6265,5685
5321,4903,4470,6353,5831
5250,4805,4445,6285,5736
5141,4714,4365,6158,5606
5220,4793,4403,6218,5690
5198,4747,4361,6193,5672
5155,4754,4420,6192,5649
5242,4809,4372,6284,5712
5224,4770,4380,6260,5695
5225,4792,4426,6215,5692
5229,4811,4418,6230,5668
5154,4745,4352,6208,5659
5196,4812,4411,6175,5671
5344,4926,4493,6283,5805
5307,4870,4461,6367,5833
5230,4792,4423,6279,5695
5150,4691,4318,6080,5588
5345,4894,4512,6317,5795
5346,4899,4493,6320,5811
5170,4746,4398,6224,5689
5218,4826,4404,6203,5665
5343,4922,4516,6363,5801
5187,4751,4399,6250,5688
5263,4824,4435,6247,5756
5259,4836,4428,6306,5725
5286,4860,4440,6303,5751
5321,4909,4540,6286,5781
5188,4803,4429,6284,5703
5282,4888,4492,6246,5722
5232,4797,4388,6215,5688
5402,4945,4532,6401,5894
5306,4894,4473,6285,5784
5293,4862,4470,6261,5750
5456,5015,4589,6377,5880
5317,4855,4475,6291,5778
5253,4847,4460,6204,5732
5356,4962,4513,6361,5837
5268,4848,4444,6293,5737
5287,4882,4477,6311,5766
5239,4821,4430,6200,5673
5229,4812,4446,6256,5710
5459,5007,4609,6377,5877
5214,4775,4385,6216,5691
5336,4884,4491,6340,5773
5364,4949,4527,6311,5824
5305,4908,4511,6277,5762
5485,5086,4652,6437,5904
5397,4973,4530,6334,5858
5393,4972,4596,6298,5820
5393,4964,4560,6317,5830
5439,5034,4622,6328,5860
5327,4898,4491,6306,5775
5440,5021,4614,6399,5913
5315,4891,4511,6285,5771
5407,5024,4581,6316,5852
5389,4982,4569,6329,5825
5361,4953,4569,6293,5804
5346,4913,4531,6258,5788
5397,4986,4597,6295,5823
5447,5037,4638,6339,5860
5350,4972,4595,6276,5788
5314,4862,4454,6295,5784
5362,4938,4507,6254,5783
5421,4999,4586,6290,5854
5482,5071,4639,6363,5892
5355,4908,4473,6289,5784
5383,4940,4547,6285,5812
5272,4885,4486,6227,5707
5319,4908,4530,6295,5772
5519,5099,4767,6438,5943
5384,4976,4558,6289,5822
5404,4986,4565,6303,5840
5430,5017,4604,6386,5894
5370,4930,4537,6300,5829
5421,4995,4592,6320,5870
5476,5054,4639,6388,5924
5311,4861,4435,6268,5773
5449,5075,4681,6373,5884
5446,5047,4673,6304,5841
5344,4966,4573,6211,5740
5359,4921,4534,6349,5802
5483,5074,4667,6348,5918
5432,4999,4572,6370,5865
5419,5007,4578,6381,5869
5334,4946,4548,6318,5776
5374,4969,4582,6270,5802
5486,5071,4649,6417,5931
5485,5036,4631,6388,5929
5441,5017,4589,6396,5879
5436,5024,4620,6345,5884
5346,4942,4517,6242,5748
5360,4903,4502,6288,5798
5445,5033,4608,6371,5887
5443,5020,4626,6410,5902
5378,4940,4514,6364,5838
5488,5021,4628,6402,5925
5456,5046,4636,6300,5843
5489,5067,4654,6374,5953
5489,5036,4649,6433,5938
5468,5035,4620,6387,5924
5419,4962,4550,6267,5832
5430,5036,4593,6334,5898
5575,5137,4706,6393,5950
5416,5020,4598,6292,5841
5480,5052,4633,6439,5960
5554,5132,4719,6393,5993
5448,5052,4601,6339,5894
5489,5077,4656,6356,5901
5524,5129,4721,6374,5913
5424,5009,4601,6332,5886
5479,5033,4612,6375,5897
5399,4985,4585,6293,5824
5495,5060,4641,6330,5904
5451,5027,4606,6411,5915
5483,5121,4725,6339,5897
5458,5071,4721,6334,5854
5452,5058,4677,6283,5841
5542,5107,4719,6413,5950
5388,4988,4579,6270,5798
5540,5178,4747,6432,6002
5468,5048,4613,6418,5896
5472,5052,4620,6324,5916
5462,5030,4635,6356,5905
5388,4978,4590,6209,5788
5473,5055,4619,6324,5892
5455,5045,4657,6352,5877
5405,4985,4568,6278,5815
5487,5071,4639,6398,5907
5549,5129,4673,6394,5960
5524,5087,4693,6330,5908
5516,5152,4757,6342,5879
5545,5131,4703,6356,5942
5491,5098,4683,6321,5891
5583,5183,4697,6465,6031
5593,5182,4747,6419,6010
5582,5181,4812,6450,6002
5567,5164,4742,6414,5979
5513,5067,4634,6361,5952
5488,5069,4650,6334,5924
5449,5044,4608,6335,5870
5411,4980,4577,6356,5874
5433,4994,4595,6313,5849
5692,5302,4892,6438,6072
5664,5272,4833,6442,6061
5607,5208,4781,6467,6062
5529,5131,4698,6399,5930
5550,5162,4742,6450,5984
5468,5069,4697,6347,5905
5430,5006,4626,6397,5876
5442,5032,4623,6382,5884
5467,5038,4657,6385,5916
5494,5107,4728,6346,5889
5415,5012,4588,6336,5825
5451,5043,4643,6402,5897
5390,4927,4510,6389,5856
5516,5075,4671,6409,5938
5344,4963,4551,6312,5818
5429,5019,4609,6335,5855
5396,4987,4590,6379,5856
5402,4965,4605,6285,5810
5393,4986,4579,6265,5819
5459,5023,4620,6359,5867
5396,4965,4550,6333,5824
5412,4969,4597,6292,5816
5412,5020,4607,6281,5814
5492,5071,4662,6423,5908
5419,5012,4598,6326,5876
5491,5040,4644,6435,5937
5426,5029,4627,6295,5892
5399,4987,4617,6297,5819
5374,4964,4566,6296,5842
5588,5176,4756,6439,6010
5535,5100,4695,6435,5956
5368,4945,4562,6275,5805
5435,5004,4588,6362,5864
5485,5051,4601,6381,5878
5559,5151,4745,6434,6010
5477,5059,4650,6402,5900
5436,5043,4636,6322,5875
5423,4997,4560,6351,5875
5435,5002,4607,6351,5889
5376,4974,4593,6333,5828
5427,4992,4573,6394,5894
5523,5084,4672,6407,5941
5434,5010,4606,6325,5868
5491,5090,4697,6324,5877
5390,4985,4563,6303,5822
5443,5047,4645,6311,5868
5423,5012,4625,6303,5849
5525,5047,4624,6389,5946
5390,5003,4599,6227,5787
5468,5049,4665,6367,5890
5458,5072,4665,6406,5896
5603,5184,4760,6437,6030
5453,5024,4634,6376,5907
5453,5053,4657,6397,5894
5507,5083,4665,6355,5904
5551,5161,4766,6479,5997
5506,5107,4703,6379,5958
5524,5136,4693,6383,5921
5506,5085,4646,6408,5928
5444,4997,4574,6396,5883
5540,5108,4723,6416,5971
5457,5032,4627,6350,5905
5443,5026,4635,6308,5860
5588,5119,4693,6447,6029
5529,5091,4657,6384,5940
5574,5197,4805,6448,5972
5474,5064,4617,6337,5875
5538,5126,4685,6375,5943
5517,5108,4701,6387,5938
5559,5160,4715,6365,5943
5602,5186,4788,6385,5994
5545,5145,4756,6438,5968
5476,5023,4620,6376,5918
5523,5091,4695,6403,5926
5557,5182,4779,6378,5961
5445,5052,4606,6347,5888
5577,5182,4743,6458,6006
5516,5096,4708,6364,5936
5553,5112,4701,6422,5978
5448,5018,4608,6349,5868
5521,5124,4704,6346,5903
5561,5165,4751,6363,5940
5500,5085,4672,6314,5893
5454,5049,4680,6370,5918
5488,5071,4668,6345,5877
5581,5140,4764,6437,5980
5493,5092,4677,6321,5885
5561,5161,4701,6433,5962
5440,5007,4612,6277,5841
5552,5151,4729,6393,5943
5486,5080,4636,6367,5929
5584,5173,4745,6418,5988
5541,5135,4744,6421,5988
5518,5052,4639,6403,5932
5528,5138,4724,6359,5954
5486,5084,4658,6347,5932
5547,5135,4732,6388,5949
5632,5226,4803,6484,6034
5539,5132,4732,6402,5936
5610,5144,4723,6442,5989
5535,5109,4670,6427,5947
5479,5095,4696,6371,5896
5607,5168,4770,6491,6013
5559,5118,4697,6435,5962
5497,5075,4706,6336,5931
5529,5115,4683,6347,5941
5613,5208,4788,6385,6010
5612,5192,4786,6377,6010
5674,5275,4874,6477,6064
5482,5119,4724,6269,5864
5511,5143,4696,6309,5890
5548,5158,4771,6384,5948
5501,5072,4669,6339,5934
5565,5154,4750,6427,5999
5784,5372,4926,6493,6111
6011,5546,5108,6770,6415
5724,5303,4847,6541,6124
5562,5119,4688,6444,6006
5411,4955,4531,6408,5899
5326,4896,4511,6323,5773
5178,4690,4302,6321,5719
5144,4691,4332,6232,5614
5125,4668,4317,6269,5664
5184,4741,4383,6256,5680
5087,4692,4283,6271,5652
5298,4860,4424,6315,5766
5145,4704,4329,6192,5631
5234,4829,4424,6300,5720
5242,4803,4404,6279,5737
5126,4671,4309,6227,5650
5208,4798,4400,6254,5708
5136,4733,4353,6272,5660
5062,4586,4184,6186,5584
5217,4708,4329,6248,5703
5116,4682,4293,6211,5579
5175,4785,4378,6262,5651
5163,4715,4343,6255,5669
5237,4751,4375,6310,5735
4931,4501,4126,6111,5470
5180,4743,4376,6277,5675
4977,4573,4201,6091,5472
5161,4733,4338,6256,5662
5092,4671,4283,6164,5579
