range_-100_-95,range_-105_-100,range_-10_-5,range_-110_-105,range_-115_-110,range_-120_-115,range_-125_-120,range_-130_-125,range_-135_-130,range_-140_-135,range_-145_-140,range_-150_-145,range_-155_-150,range_-15_-10,range_-160_-155,range_-165_-160,range_-170_-165,range_-175_-170,range_-180_-175,range_-185_-180,range_-190_-185,range_-195_-190,range_-200_-195,range_-20_-15,range_-25_-20,range_-30_-25,range_-35_-30,range_-40_-35,range_-45_-40,range_-50_-45,range_-55_-50,range_-5_0,range_-60_-55,range_-65_-60,range_-70_-65,range_-75_-70,range_-80_-75,range_-85_-80,range_-90_-85,range_-95_-90,range_0_5,range_100_105,range_105_110,range_10_15,range_110_115,range_115_120,range_120_125,range_125_130,range_130_135,range_135_140,range_140_145,range_145_150,range_150_155,range_155_160,range_15_20,range_160_165,range_165_170,range_170_175,range_175_180,range_180_185,range_185_190,range_190_195,range_20_25,range_25_30,range_30_35,range_35_40,range_40_45,range_45_50,range_50_55,range_55_60,range_5_10,range_60_65,range_65_70,range_70_75,range_75_80,range_80_85,range_85_90,range_90_95,range_95_100
1,0,1475,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,225,105,63,42,29,17,15,15,9069,8,4,3,2,2,3,0,3,57022,2,0,12689,0,0,0,0,0,0,0,0,0,0,1897,0,0,0,0,0,0,0,596,270,122,79,45,30,25,13,65603,11,7,5,4,2,6,1,1
9,4,1885,5,4,2,5,0,1,2,0,4,1,628,0,0,0,0,0,0,0,0,0,318,181,129,83,45,40,18,28,9903,13,7,9,17,9,6,6,3,57740,6,6,11812,6,4,0,3,2,3,3,3,1,1,2002,0,0,2,0,2,0,0,704,347,198,123,80,58,18,30,63377,20,11,22,16,8,5,12,10
3,2,2116,1,0,0,0,0,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,505,259,226,158,89,72,40,34,9680,22,18,18,5,3,12,4,1,54485,4,4,13579,2,0,0,1,1,0,1,0,0,0,2499,0,0,0,0,0,0,0,1019,581,353,236,141,84,73,51,62501,40,25,25,12,11,8,9,4
3,3,1683,4,1,3,3,4,1,3,0,0,0,663,0,1,0,1,0,0,0,1,2,334,208,153,84,57,57,44,25,9178,32,15,14,13,5,5,6,3,55775,4,3,12858,3,2,2,3,1,5,1,1,0,2,2127,2,3,1,2,1,2,1,737,395,206,130,86,78,55,43,64745,26,17,16,15,13,14,9,5
4,5,1763,3,4,2,4,1,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,419,225,223,151,104,80,62,46,8866,37,19,21,13,9,11,10,9,55661,4,2,12674,4,6,5,2,4,2,1,1,0,0,2171,0,0,0,0,0,0,0,802,477,286,221,166,129,72,58,64256,50,35,24,20,13,15,11,6
4,1,1530,0,1,0,0,1,0,1,1,0,0,622,0,0,0,0,0,0,0,0,0,289,159,89,50,39,26,24,9,9088,5,3,3,1,1,2,2,0,55966,1,2,13101,1,3,0,0,0,2,1,0,0,0,1961,0,0,0,0,0,0,0,662,321,162,124,80,47,21,17,65559,4,3,2,3,1,3,1,1
0,0,2042,0,0,0,0,0,0,0,0,0,0,773,0,0,0,0,0,0,0,0,0,400,220,130,83,41,21,21,13,9535,7,3,5,2,1,0,0,0,55936,2,2,12845,0,1,1,0,0,0,0,0,0,0,2269,0,0,0,0,0,0,0,932,425,255,131,84,50,32,16,63697,12,5,1,1,2,1,1,2
0,1,1479,0,0,1,0,2,1,0,0,0,0,596,0,0,0,0,0,0,0,0,0,312,196,118,87,68,51,33,29,9615,18,8,9,8,9,6,4,1,62109,4,1,9553,0,0,1,1,0,2,0,0,0,0,1460,0,0,0,0,0,0,0,608,320,216,143,86,62,44,34,62638,12,17,12,6,6,3,6,4
9,0,2515,2,2,3,3,4,3,3,2,3,4,1026,1,0,0,0,0,0,0,0,0,495,292,186,127,84,87,49,31,11157,28,24,12,14,20,10,7,15,55633,4,8,13253,4,8,5,8,3,4,4,1,0,0,2707,0,2,0,0,0,0,0,1089,531,329,195,133,111,89,47,59456,37,29,24,12,20,16,13,7
3,7,2157,1,3,3,2,1,0,0,0,0,0,806,0,0,0,0,0,0,0,0,0,422,249,165,116,67,61,45,31,10531,21,19,6,11,15,10,4,6,56706,6,4,12775,2,3,4,1,1,1,3,1,1,0,2451,0,0,0,0,0,0,0,891,463,252,173,111,83,56,40,61086,31,21,16,15,16,13,7,5
