seg_id,seg_start,seg_end,num_peaks_1,num_peaks_2,num_peaks_3,num_peaks_4,num_peaks_5,num_peaks_6,num_peaks_7,num_peaks_8,num_peaks_9,num_peaks_10,num_peaks_11,num_peaks_12,num_peaks_13,num_peaks_14,num_peaks_15,num_peaks_16,num_peaks_17,num_peaks_18,num_peaks_19,num_peaks_20,range_-200_-195,range_-195_-190,range_-190_-185,range_-185_-180,range_-180_-175,range_-175_-170,range_-170_-165,range_-165_-160,range_-160_-155,range_-155_-150,range_-150_-145,range_-145_-140,range_-140_-135,range_-135_-130,range_-130_-125,range_-125_-120,range_-120_-115,range_-115_-110,range_-110_-105,range_-105_-100,range_-100_-95,range_-95_-90,range_-90_-85,range_-85_-80,range_-80_-75,range_-75_-70,range_-70_-65,range_-65_-60,range_-60_-55,range_-55_-50,range_-50_-45,range_-45_-40,range_-40_-35,range_-35_-30,range_-30_-25,range_-25_-20,range_-20_-15,range_-15_-10,range_-10_-5,range_-5_0,range_0_5,range_5_10,range_10_15,range_15_20,range_20_25,range_25_30,range_30_35,range_35_40,range_40_45,range_45_50,range_50_55,range_55_60,range_60_65,range_65_70,range_70_75,range_75_80,range_80_85,range_85_90,range_90_95,range_95_100,range_100_105,range_105_110,range_110_115,range_115_120,range_120_125,range_125_130,range_130_135,range_135_140,range_140_145,range_145_150,range_150_155,range_155_160,range_160_165,range_165_170,range_170_175,range_175_180,range_180_185,range_185_190,range_190_195,classic_sta_lta5_mean,classic_sta_lta6_mean,classic_sta_lta7_mean
0.0,10804991.0,10954991.0,33210.0,20876.0,14486.0,11224.0,9203.0,7852.0,6892.0,6141.0,5585.0,5118.0,4690.0,4350.0,4001.0,3683.0,3399.0,3160.0,2962.0,2768.0,2585.0,2425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,22.0,26.0,33.0,55.0,114.0,198.0,488.0,6215.0,67944.0,67809.0,6162.0,467.0,185.0,102.0,66.0,42.0,21.0,17.0,5.0,5.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0071874334484259,0.9863495309933537,0.9931542730694708
1.0,40754581.0,40904581.0,31405.0,19072.0,12896.0,10006.0,8502.0,7571.0,6913.0,6364.0,5900.0,5500.0,5089.0,4681.0,4263.0,3908.0,3557.0,3239.0,2999.0,2799.0,2625.0,2473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,4.0,6.0,9.0,12.0,21.0,16.0,26.0,48.0,68.0,102.0,171.0,282.0,607.0,1906.0,11545.0,62517.0,59140.0,10342.0,1819.0,552.0,316.0,182.0,92.0,67.0,42.0,26.0,26.0,12.0,14.0,7.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0319200453364215,1.0185118786217895,0.9903125653676299
2.0,61152051.0,61302051.0,32280.0,19948.0,13808.0,10678.0,8896.0,7736.0,6906.0,6291.0,5822.0,5401.0,4933.0,4573.0,4155.0,3806.0,3476.0,3210.0,2967.0,2786.0,2639.0,2534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,9.0,13.0,21.0,30.0,35.0,35.0,51.0,114.0,172.0,345.0,1050.0,7302.0,59981.0,68464.0,10228.0,1177.0,421.0,194.0,112.0,69.0,42.0,40.0,34.0,9.0,16.0,5.0,1.0,3.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0167027569611697,0.9959103311845672,0.9918503150940898
3.0,51046969.0,51196969.0,33255.0,20679.0,14382.0,11146.0,9191.0,7922.0,6998.0,6271.0,5716.0,5197.0,4734.0,4334.0,3968.0,3657.0,3381.0,3136.0,2938.0,2750.0,2599.0,2464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,15.0,26.0,52.0,91.0,139.0,252.0,587.0,6642.0,67827.0,66645.0,6490.0,640.0,272.0,120.0,89.0,40.0,27.0,20.0,10.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0099711559057398,0.9810454838384504,0.9930819792430712
4.0,26130885.0,26280885.0,31054.0,18746.0,12870.0,10065.0,8563.0,7601.0,6992.0,6466.0,6067.0,5626.0,5212.0,4767.0,4334.0,3880.0,3519.0,3197.0,2958.0,2734.0,2598.0,2447.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,5.0,3.0,9.0,6.0,13.0,18.0,16.0,20.0,37.0,43.0,57.0,69.0,99.0,155.0,230.0,379.0,803.0,2368.0,13142.0,62036.0,56007.0,10534.0,2014.0,791.0,392.0,207.0,159.0,82.0,88.0,52.0,44.0,20.0,22.0,13.0,14.0,10.0,6.0,3.0,4.0,6.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0424710217399116,1.037097160216355,0.9876853812088976
5.0,37920772.0,38070772.0,31405.0,19141.0,13003.0,10221.0,8613.0,7554.0,6861.0,6321.0,5867.0,5474.0,5043.0,4647.0,4261.0,3878.0,3518.0,3211.0,2976.0,2788.0,2636.0,2499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,3.0,2.0,5.0,6.0,7.0,4.0,11.0,15.0,31.0,33.0,35.0,65.0,91.0,140.0,260.0,391.0,716.0,1708.0,9061.0,57179.0,64247.0,11992.0,2021.0,830.0,399.0,232.0,162.0,98.0,59.0,48.0,30.0,24.0,12.0,17.0,6.0,13.0,7.0,7.0,5.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0276324524807228,1.0230983445557553,0.9884399829156132
6.0,36775305.0,36925305.0,30659.0,18570.0,12682.0,9992.0,8519.0,7650.0,6999.0,6478.0,6052.0,5607.0,5198.0,4780.0,4372.0,3992.0,3622.0,3290.0,3030.0,2822.0,2643.0,2531.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,3.0,5.0,4.0,2.0,7.0,6.0,9.0,11.0,9.0,6.0,19.0,20.0,35.0,38.0,57.0,78.0,131.0,173.0,278.0,459.0,949.0,2333.0,11169.0,57150.0,59649.0,12587.0,2488.0,906.0,477.0,292.0,203.0,105.0,78.0,42.0,31.0,23.0,22.0,17.0,16.0,16.0,12.0,4.0,9.0,9.0,5.0,4.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0493688904938792,0.9980495882588803,0.9868812334827264
7.0,7675825.0,7825825.0,32978.0,20689.0,14396.0,11211.0,9212.0,7893.0,6980.0,6329.0,5736.0,5239.0,4843.0,4447.0,4098.0,3760.0,3488.0,3241.0,3024.0,2849.0,2693.0,2562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,9.0,2.0,10.0,7.0,8.0,7.0,25.0,34.0,49.0,65.0,69.0,118.0,163.0,290.0,588.0,5860.0,64083.0,69721.0,7363.0,671.0,280.0,168.0,110.0,79.0,47.0,46.0,24.0,21.0,21.0,12.0,7.0,5.0,7.0,4.0,3.0,0.0,2.0,4.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0130611189614764,0.9947227172859053,0.9917448772014629
8.0,63601922.0,63751922.0,32214.0,19868.0,13680.0,10560.0,8815.0,7682.0,6902.0,6298.0,5798.0,5336.0,4945.0,4499.0,4119.0,3737.0,3403.0,3130.0,2924.0,2704.0,2563.0,2442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,4.0,4.0,6.0,9.0,19.0,13.0,43.0,53.0,67.0,85.0,127.0,202.0,379.0,1022.0,7981.0,60860.0,66731.0,10046.0,1233.0,432.0,197.0,127.0,97.0,79.0,52.0,39.0,27.0,15.0,14.0,8.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.020856295674445,1.0129095937869008,0.9905910757641886
9.0,7592430.0,7742430.0,33169.0,20923.0,14573.0,11349.0,9280.0,7898.0,6928.0,6239.0,5676.0,5161.0,4729.0,4331.0,3967.0,3659.0,3402.0,3191.0,2991.0,2818.0,2660.0,2504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,9.0,2.0,10.0,7.0,8.0,7.0,25.0,33.0,42.0,52.0,61.0,106.0,123.0,218.0,417.0,4981.0,63319.0,72091.0,7302.0,504.0,201.0,125.0,84.0,66.0,41.0,41.0,21.0,21.0,21.0,12.0,7.0,5.0,7.0,4.0,3.0,0.0,2.0,4.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.010221873183792,0.9921871446096806,0.9932110748701228
