seg_id,seg_start,seg_end,num_peaks_1,num_peaks_2,num_peaks_3,num_peaks_4,num_peaks_5,num_peaks_6,num_peaks_7,num_peaks_8,num_peaks_9,num_peaks_10,num_peaks_11,num_peaks_12,num_peaks_13,num_peaks_14,num_peaks_15,num_peaks_16,num_peaks_17,num_peaks_18,num_peaks_19,num_peaks_20,range_-200_-195,range_-195_-190,range_-190_-185,range_-185_-180,range_-180_-175,range_-175_-170,range_-170_-165,range_-165_-160,range_-160_-155,range_-155_-150,range_-150_-145,range_-145_-140,range_-140_-135,range_-135_-130,range_-130_-125,range_-125_-120,range_-120_-115,range_-115_-110,range_-110_-105,range_-105_-100,range_-100_-95,range_-95_-90,range_-90_-85,range_-85_-80,range_-80_-75,range_-75_-70,range_-70_-65,range_-65_-60,range_-60_-55,range_-55_-50,range_-50_-45,range_-45_-40,range_-40_-35,range_-35_-30,range_-30_-25,range_-25_-20,range_-20_-15,range_-15_-10,range_-10_-5,range_-5_0,range_0_5,range_5_10,range_10_15,range_15_20,range_20_25,range_25_30,range_30_35,range_35_40,range_40_45,range_45_50,range_50_55,range_55_60,range_60_65,range_65_70,range_70_75,range_75_80,range_80_85,range_85_90,range_90_95,range_95_100,range_100_105,range_105_110,range_110_115,range_115_120,range_120_125,range_125_130,range_130_135,range_135_140,range_140_145,range_145_150,range_150_155,range_155_160,range_160_165,range_165_170,range_170_175,range_175_180,range_180_185,range_185_190,range_190_195,classic_sta_lta5_mean,classic_sta_lta6_mean,classic_sta_lta7_mean
4000.0,16837712.0,16987712.0,31396.0,19190.0,13169.0,10318.0,8684.0,7609.0,6868.0,6362.0,5886.0,5401.0,4998.0,4557.0,4139.0,3777.0,3440.0,3164.0,2940.0,2757.0,2591.0,2489.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,4.0,1.0,4.0,5.0,15.0,5.0,9.0,14.0,25.0,22.0,24.0,52.0,45.0,66.0,78.0,95.0,164.0,218.0,425.0,681.0,1610.0,7801.0,54964.0,66787.0,12614.0,2064.0,846.0,457.0,249.0,166.0,101.0,84.0,48.0,34.0,35.0,32.0,26.0,22.0,16.0,14.0,12.0,7.0,10.0,6.0,4.0,2.0,6.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0350260146392076,1.0468826069541257,0.9877307945409632
4001.0,49519822.0,49669822.0,32160.0,19839.0,13592.0,10623.0,8840.0,7719.0,6940.0,6328.0,5798.0,5364.0,4942.0,4510.0,4128.0,3783.0,3478.0,3222.0,2973.0,2771.0,2604.0,2444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,7.0,8.0,7.0,12.0,18.0,30.0,40.0,83.0,139.0,231.0,452.0,1213.0,7827.0,59658.0,67313.0,10420.0,1390.0,524.0,238.0,128.0,84.0,56.0,42.0,26.0,14.0,10.0,2.0,4.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0186325019352829,1.0141835969189597,0.9914211325773414
4002.0,86613139.0,86763139.0,33008.0,20625.0,14400.0,11184.0,9285.0,8008.0,7089.0,6339.0,5792.0,5321.0,4864.0,4445.0,4093.0,3758.0,3492.0,3229.0,2983.0,2808.0,2651.0,2505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,9.0,7.0,5.0,14.0,26.0,45.0,47.0,85.0,164.0,317.0,677.0,6382.0,65936.0,67777.0,7064.0,680.0,332.0,159.0,97.0,68.0,35.0,18.0,20.0,8.0,7.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0104232564163147,0.9945382578140268,0.9913280667875883
4003.0,3210689.0,3360689.0,33477.0,21170.0,14641.0,11312.0,9218.0,7926.0,6933.0,6182.0,5600.0,5069.0,4626.0,4230.0,3887.0,3592.0,3351.0,3140.0,2882.0,2701.0,2534.0,2392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,2.0,6.0,13.0,15.0,22.0,31.0,90.0,251.0,5087.0,66499.0,70906.0,6508.0,342.0,100.0,38.0,27.0,20.0,9.0,9.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947364088099186,0.9659137804341846,0.9928175400797734
4004.0,98148542.0,98298542.0,31450.0,19201.0,13266.0,10388.0,8803.0,7707.0,6977.0,6421.0,5921.0,5468.0,5051.0,4590.0,4194.0,3843.0,3534.0,3245.0,2987.0,2789.0,2630.0,2493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,2.0,6.0,10.0,11.0,16.0,27.0,34.0,53.0,75.0,80.0,132.0,226.0,368.0,659.0,1808.0,10617.0,62217.0,60263.0,10048.0,1674.0,686.0,348.0,175.0,120.0,74.0,70.0,41.0,42.0,27.0,16.0,16.0,14.0,7.0,5.0,5.0,6.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0392216234307263,1.0469536378793358,0.9888752718552516
4005.0,31101347.0,31251347.0,29997.0,18073.0,12334.0,9785.0,8361.0,7469.0,6858.0,6338.0,5929.0,5507.0,5090.0,4668.0,4250.0,3839.0,3518.0,3251.0,2992.0,2774.0,2610.0,2474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,7.0,1.0,7.0,10.0,20.0,18.0,19.0,35.0,57.0,71.0,96.0,114.0,165.0,293.0,363.0,688.0,1137.0,2607.0,11539.0,55255.0,58366.0,13068.0,2797.0,1217.0,643.0,408.0,254.0,199.0,149.0,114.0,75.0,50.0,49.0,28.0,21.0,14.0,10.0,7.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0591401056826324,1.1046636501662783,0.9906078014312651
4006.0,1090339.0,1240339.0,33383.0,20973.0,14510.0,11288.0,9329.0,8005.0,7090.0,6357.0,5733.0,5239.0,4792.0,4392.0,4041.0,3738.0,3440.0,3187.0,2974.0,2800.0,2622.0,2475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,8.0,15.0,4.0,8.0,7.0,16.0,11.0,6.0,15.0,21.0,18.0,28.0,38.0,60.0,137.0,385.0,4990.0,64099.0,72308.0,6971.0,413.0,149.0,58.0,38.0,35.0,17.0,19.0,18.0,13.0,13.0,7.0,9.0,10.0,9.0,3.0,12.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0056184614548802,0.9939477527689002,0.9932345940201629
4007.0,72122324.0,72272324.0,28011.0,16493.0,11428.0,9262.0,8087.0,7309.0,6783.0,6408.0,6055.0,5701.0,5263.0,4875.0,4417.0,4011.0,3651.0,3315.0,3053.0,2850.0,2686.0,2548.0,16.0,11.0,16.0,7.0,17.0,19.0,12.0,17.0,11.0,18.0,30.0,20.0,24.0,36.0,33.0,40.0,54.0,32.0,37.0,44.0,53.0,47.0,62.0,60.0,78.0,82.0,74.0,103.0,136.0,179.0,195.0,245.0,302.0,358.0,511.0,730.0,1082.0,1837.0,4051.0,14410.0,50033.0,49164.0,14459.0,4073.0,1848.0,1079.0,776.0,502.0,341.0,283.0,214.0,172.0,168.0,135.0,91.0,78.0,88.0,80.0,65.0,68.0,56.0,55.0,32.0,45.0,43.0,36.0,37.0,28.0,26.0,24.0,31.0,23.0,25.0,22.0,18.0,15.0,18.0,16.0,13.0,1.0664497060122735,1.1306363506477604,0.9810687217495168
4008.0,60934579.0,61084579.0,30897.0,18685.0,12866.0,10173.0,8625.0,7694.0,7011.0,6419.0,5997.0,5563.0,5131.0,4731.0,4308.0,3920.0,3563.0,3268.0,2979.0,2792.0,2604.0,2462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,3.0,5.0,4.0,8.0,12.0,17.0,29.0,34.0,26.0,38.0,57.0,88.0,128.0,189.0,292.0,459.0,840.0,2003.0,10273.0,56671.0,61736.0,12427.0,2263.0,898.0,525.0,319.0,229.0,117.0,84.0,49.0,36.0,26.0,21.0,20.0,16.0,8.0,8.0,5.0,2.0,6.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0306681305518466,1.0322833418796655,0.9864444196836755
4009.0,60224280.0,60374280.0,31183.0,18923.0,12981.0,10233.0,8631.0,7554.0,6893.0,6321.0,5860.0,5441.0,5004.0,4576.0,4140.0,3785.0,3466.0,3165.0,2945.0,2736.0,2592.0,2465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,24.0,32.0,47.0,91.0,126.0,207.0,402.0,842.0,2098.0,10301.0,59390.0,61253.0,11199.0,2110.0,857.0,428.0,248.0,131.0,97.0,44.0,18.0,16.0,9.0,2.0,3.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0350150223098618,0.9890286011671481,0.9896417431547743
