seg_id,time_to_failure
seg_00030f,1.7883737
seg_0012b5,4.913521
seg_00184e,5.6023703
seg_003339,8.453037
seg_0042cc,6.4164453
seg_004314,0.37551212
seg_004cd2,8.727006
seg_004ee5,4.3429966
seg_004f1f,5.1676564
seg_00648a,1.5877951
seg_006e4a,2.4184499
seg_007a37,5.2470145
seg_00a37e,4.785451
seg_00be11,1.7654486
seg_00c35b,8.146637
seg_00cc91,5.257018
seg_00e5f7,5.3566475
seg_00f3b9,4.3536067
seg_010eab,7.9993153
seg_0125d9,4.4515314
seg_0144cb,5.1281567
seg_0165c6,8.320849
seg_016913,4.7935114
seg_016cdb,5.20232
seg_017314,6.371605
seg_01a8dc,5.086475
seg_01c775,7.3727627
seg_01ecb0,4.7794166
seg_02042f,1.9039825
seg_025e78,5.3923817
seg_032822,4.3102403
seg_0339ca,4.280931
seg_037461,4.7713842
seg_038879,6.603513
seg_03d386,2.7666366
seg_03d63e,4.8631
seg_03d680,8.597627
seg_03f380,4.6742935
seg_0445d7,4.4575644
seg_046c28,1.7410437
seg_0488a1,6.0366035
seg_049957,8.969332
seg_04a696,7.4978485
seg_04ae38,4.361614
seg_04b87a,8.327393
seg_04cceb,6.286209
seg_04ee93,7.440668
seg_04fd93,5.5030394
seg_0536c9,3.8608794
seg_055127,4.809112
seg_05a1b0,4.870983
seg_05a4ad,6.1095514
seg_05b66a,8.465836
seg_05bef4,1.7796087
seg_05e0d7,3.4102674
seg_05f126,7.5661287
seg_05f9d6,5.628327
seg_060ce4,2.4349432
seg_061a33,7.8738394
seg_0620e6,5.524935
seg_063865,7.7467213
seg_065588,3.3572993
seg_06893f,3.3725429
seg_06b8c9,5.2287755
seg_06bbc5,1.975175
seg_06d4a2,3.401939
seg_06d7ba,3.119587
seg_070bb0,1.6202555
seg_071067,1.876668
seg_073696,7.397148
seg_075340,5.1507835
seg_075f77,1.6974053
seg_0775a7,3.0615177
seg_077b7e,5.489607
seg_079e34,5.32854
seg_07c815,4.576562
seg_07cd72,5.0386724
seg_07f37c,4.3447886
seg_07f8df,4.4318357
seg_07fc6d,6.774232
seg_086a61,8.594027
seg_0870ab,5.3267307
seg_0879a8,6.928994
seg_08b136,6.372019
seg_08f441,4.6009502
seg_08fd5b,3.6081424
seg_091c9d,9.23539
seg_093a0a,6.713422
seg_0968f1,8.203459
seg_0981f3,2.187904
seg_09dd59,6.337418
seg_09ed4e,8.927681
seg_09f0ff,4.914363
seg_0a0fbb,9.188654
seg_0a1bd0,4.233431
seg_0a42ba,8.677551
seg_0a45a1,3.5936074
seg_0a97c4,5.851733
seg_0aa0fb,7.3860035
seg_0b07c7,5.3977895
seg_0b082e,7.707861
seg_0b32f7,1.8439438
seg_0b3b94,5.2797503
seg_0b48c4,2.0387006
seg_0b4b24,4.1365423
seg_0b54ac,3.4518845
seg_0b76f5,7.7649765
seg_0b9ad8,6.432684
seg_0b9ba3,9.444339
seg_0ba210,10.102242
seg_0ba585,5.00908
seg_0bb5fd,3.7666035
seg_0bc877,1.6600548
seg_0be6ee,1.730304
seg_0c12cc,6.5571947
seg_0c1d3a,3.3319287
seg_0c247b,5.3675165
seg_0c3943,1.957081
seg_0c4e31,1.7140473
seg_0c74cf,1.7479556
seg_0c8502,8.515249
seg_0c89ce,5.36294
seg_0c9aa8,10.021234
seg_0cb81b,2.075801
seg_0cca14,4.386695
seg_0cdcc8,1.7799519
seg_0cf651,2.418139
seg_0d0250,3.8555012
seg_0d04b9,5.7793026
seg_0d13a7,4.1967688
seg_0d434c,8.110656
seg_0d540e,1.9774964
seg_0d663a,8.093476
seg_0d6d68,4.8513594
seg_0d762e,6.6120834
seg_0d833c,5.206833
seg_0dae4b,3.4094598
seg_0dc38f,1.930387
seg_0dcc40,5.729673
seg_0df469,4.7089305
seg_0df75c,8.983412
seg_0dfe8c,4.067405
seg_0e1370,1.7164001
seg_0e1fbe,4.705434
seg_0e3739,3.9109764
seg_0e3d44,3.8174145
seg_0e3ed2,1.7724041
seg_0e4833,8.90765
seg_0e7cc5,6.110696
seg_0e8b79,9.04043
seg_0e9987,5.342782
seg_0e9bb3,5.8001657
seg_0eb333,1.7363243
seg_0ebfd9,4.701334
seg_0f565c,5.0915985
seg_0f74a3,6.498979
seg_0f8961,8.673357
seg_0fc67a,9.02098
seg_0fca83,3.0090683
seg_0fd3ff,1.9411188
seg_1010ad,8.349968
seg_103b32,2.6486373
seg_105cd9,3.922009
seg_1084af,5.3345437
seg_10a595,4.1033998
seg_10c09d,8.29339
seg_10f3a6,4.342643
seg_112b81,6.0470133
seg_1144bc,11.28124
seg_114b79,4.797879
seg_115617,2.2958076
seg_115a92,4.866933
seg_11647f,4.7140465
seg_117278,5.1009874
seg_117ff4,3.970786
seg_11860f,3.588925
seg_1201e8,5.0285025
seg_121446,6.940362
seg_121cba,2.3516781
seg_122ba9,4.8099937
seg_123dd4,7.9808064
seg_12ac20,9.325538
seg_12b9ba,5.513562
seg_12ee6e,3.6338336
seg_130e17,1.7789133
seg_13468a,5.9216566
seg_136285,5.1903715
seg_136695,7.3249264
seg_137f8a,7.786215
seg_138807,5.4736743
seg_13c2f0,5.4977818
seg_13e25f,6.1664734
seg_140bc5,2.811714
seg_141f34,9.203895
seg_146926,9.431959
seg_148698,7.621092
seg_14ad27,1.7212818
seg_14c054,7.7575893
seg_14c371,6.2010193
seg_14c435,4.8131742
seg_14c89d,5.898878
seg_14c8ce,6.930546
seg_14d1d3,6.6980925
seg_14f5f0,6.690336
seg_151368,6.840294
seg_151d92,1.7581325
seg_153d6a,9.051788
seg_154361,6.559163
seg_1562cb,8.922652
seg_158691,3.1472623
seg_158764,5.802702
seg_15adff,4.6554065
seg_15bf25,6.249107
seg_15c9f9,1.7513958
seg_161aeb,6.290886
seg_161f5f,4.005526
seg_162fc4,5.9848967
seg_16566c,3.7327383
seg_166f70,9.024718
seg_168d1c,6.188176
seg_16a270,6.3617444
seg_16c3a7,4.6873426
seg_17067e,3.5490756
seg_170684,9.681896
seg_170a0c,10.936089
seg_176542,6.9625187
seg_17799c,6.584586
seg_179d90,10.383877
seg_17adc0,3.986124
seg_17d1ff,4.681386
seg_17e596,6.887433
seg_180481,7.1124477
seg_18096a,6.006942
seg_1815fe,9.111976
seg_1827c5,8.97735
seg_184222,5.0484085
seg_185ad6,8.204189
seg_18d1d0,3.8519065
seg_18d307,1.7464085
seg_18f633,1.6205713
seg_18f853,5.018692
seg_18fb65,1.7689106
seg_193404,9.931844
seg_19515c,4.870374
seg_195eda,5.49837
seg_1969c8,6.778055
seg_19b08e,4.743719
seg_19b9dd,5.790345
seg_19e1ff,7.499284
seg_19ec5c,10.093084
seg_1a0e94,9.285533
seg_1a0eca,4.9051185
