seg_id,time_to_failure
seg_00030f,2.8718576
seg_0012b5,4.9532866
seg_00184e,6.461733
seg_003339,8.25811
seg_0042cc,6.3138885
seg_004314,1.5558732
seg_004cd2,6.3438797
seg_004ee5,5.851716
seg_004f1f,4.3984175
seg_00648a,2.8195267
seg_006e4a,2.9441514
seg_007a37,2.6159055
seg_00a37e,2.2611585
seg_00be11,2.4616294
seg_00c35b,8.044725
seg_00cc91,3.7926147
seg_00e5f7,5.9001617
seg_00f3b9,2.4185894
seg_010eab,6.318968
seg_0125d9,5.5567517
seg_0144cb,4.5702033
seg_0165c6,8.866746
seg_016913,2.4774706
seg_016cdb,4.7918596
seg_017314,6.069399
seg_01a8dc,3.0246325
seg_01c775,8.980385
seg_01ecb0,2.281652
seg_02042f,2.2491193
seg_025e78,3.374382
seg_032822,2.994704
seg_0339ca,6.254399
seg_037461,2.6392899
seg_038879,6.4424834
seg_03d386,1.5699873
seg_03d63e,3.963709
seg_03d680,8.85501
seg_03f380,2.47507
seg_0445d7,6.1790648
seg_046c28,2.6679807
seg_0488a1,8.759571
seg_049957,6.868829
seg_04a696,6.789102
seg_04ae38,3.432734
seg_04b87a,8.757923
seg_04cceb,7.4308224
seg_04ee93,6.30156
seg_04fd93,6.269358
seg_0536c9,2.975236
seg_055127,5.9054503
seg_05a1b0,3.8552008
seg_05a4ad,6.170194
seg_05b66a,6.839882
seg_05bef4,2.8109665
seg_05e0d7,6.0835485
seg_05f126,8.182275
seg_05f9d6,6.950836
seg_060ce4,2.9180422
seg_061a33,6.8429866
seg_0620e6,6.0408244
seg_063865,6.250163
seg_065588,3.6530414
seg_06893f,3.2761874
seg_06b8c9,5.5339184
seg_06bbc5,3.9182954
seg_06d4a2,2.54067
seg_06d7ba,3.5655766
seg_070bb0,2.7217479
seg_071067,1.9319255
seg_073696,8.486777
seg_075340,4.872698
seg_075f77,4.1768584
seg_0775a7,2.2981188
seg_077b7e,5.7028637
seg_079e34,2.891369
seg_07c815,2.0797772
seg_07cd72,5.3130484
seg_07f37c,4.0787344
seg_07f8df,5.636571
seg_07fc6d,6.489421
seg_086a61,9.079786
