seg_id,time_to_failure
seg_00030f,2.054238
seg_0012b5,4.9744864
seg_00184e,4.369551
seg_003339,7.655007
seg_0042cc,5.8976564
seg_004314,0.6579277
seg_004cd2,5.555776
seg_004ee5,4.4557776
seg_004f1f,4.503139
seg_00648a,1.4651175
seg_006e4a,1.7343689
seg_007a37,4.5211487
seg_00a37e,4.1368976
seg_00be11,2.1403065
seg_00c35b,7.072494
seg_00cc91,4.447793
seg_00e5f7,5.3811054
seg_00f3b9,4.2112656
seg_010eab,6.176209
seg_0125d9,3.1234117
seg_0144cb,3.8905106
seg_0165c6,7.466346
seg_016913,4.07856
seg_016cdb,4.610449
seg_017314,6.2915754
seg_01a8dc,4.707001
seg_01c775,6.418564
seg_01ecb0,4.4437513
seg_02042f,1.6719242
seg_025e78,4.3926153
seg_032822,3.514195
seg_0339ca,3.0979333
seg_037461,4.215506
seg_038879,5.964486
seg_03d386,0.73807013
seg_03d63e,4.4225225
seg_03d680,7.0339036
seg_03f380,4.3732953
seg_0445d7,3.0455275
seg_046c28,1.5429851
seg_0488a1,5.895106
seg_049957,8.94378
seg_04a696,6.7731495
seg_04ae38,4.1343
seg_04b87a,7.164093
seg_04cceb,6.0306635
seg_04ee93,6.8641806
seg_04fd93,5.474798
seg_0536c9,3.4174664
seg_055127,5.4526963
seg_05a1b0,4.7016044
seg_05a4ad,4.7359996
seg_05b66a,8.286343
seg_05bef4,2.2490005
seg_05e0d7,4.085528
seg_05f126,7.1683617
seg_05f9d6,5.429049
seg_060ce4,1.8504821
seg_061a33,5.84449
seg_0620e6,5.2652407
seg_063865,5.671526
seg_065588,2.7849393
seg_06893f,1.7793258
seg_06b8c9,4.8801003
seg_06bbc5,2.11125
seg_06d4a2,3.761716
seg_06d7ba,2.3200917
seg_070bb0,1.4164147
seg_071067,1.9164177
seg_073696,8.225753
seg_075340,4.2755647
seg_075f77,1.7769517
seg_0775a7,3.785931
seg_077b7e,4.9302044
seg_079e34,4.412941
seg_07c815,4.7151065
seg_07cd72,3.5880225
seg_07f37c,2.5772529
seg_07f8df,4.60673
seg_07fc6d,6.702078
seg_086a61,8.041317
seg_0870ab,4.538545
seg_0879a8,6.639823
seg_08b136,6.507315
seg_08f441,4.6186633
seg_08fd5b,2.441646
seg_091c9d,8.677376
seg_093a0a,6.2104506
seg_0968f1,5.9444656
seg_0981f3,1.6203333
seg_09dd59,5.753381
seg_09ed4e,9.403399
seg_09f0ff,4.651227
seg_0a0fbb,8.561099
seg_0a1bd0,2.7856126
seg_0a42ba,7.708628
seg_0a45a1,3.384942
seg_0a97c4,4.887381
seg_0aa0fb,6.122162
seg_0b07c7,5.1721797
seg_0b082e,6.6289935
seg_0b32f7,1.8782996
seg_0b3b94,4.8970537
seg_0b48c4,2.7516792
seg_0b4b24,3.7338169
seg_0b54ac,2.83891
seg_0b76f5,8.685583
seg_0b9ad8,6.3263626
seg_0b9ba3,8.118102
seg_0ba210,9.439824
seg_0ba585,4.784405
seg_0bb5fd,2.8867235
seg_0bc877,1.6705655
seg_0be6ee,1.7258614
seg_0c12cc,6.522714
seg_0c1d3a,2.0179849
seg_0c247b,5.1849146
seg_0c3943,1.8351938
seg_0c4e31,1.3804904
seg_0c74cf,1.112136
seg_0c8502,7.412331
seg_0c89ce,5.451523
seg_0c9aa8,8.967985
seg_0cb81b,1.8525399
seg_0cca14,3.3864188
seg_0cdcc8,1.7445813
seg_0cf651,2.190084
seg_0d0250,2.9783273
seg_0d04b9,4.273299
seg_0d13a7,2.75487
seg_0d434c,7.009611
seg_0d540e,1.8781
seg_0d663a,8.232802
seg_0d6d68,4.7736573
seg_0d762e,4.8279147
seg_0d833c,5.1313567
seg_0dae4b,2.683055
seg_0dc38f,1.1028227
seg_0dcc40,5.502486
seg_0df469,4.5665865
seg_0df75c,7.7798266
seg_0dfe8c,3.4957128
seg_0e1370,1.5572358
seg_0e1fbe,4.593541
seg_0e3739,3.9926193
seg_0e3d44,1.8501029
seg_0e3ed2,1.4807014
seg_0e4833,8.634326
seg_0e7cc5,5.548973
seg_0e8b79,8.87302
seg_0e9987,4.7983966
seg_0e9bb3,4.566123
seg_0eb333,1.4361662
seg_0ebfd9,4.4624605
seg_0f565c,4.41748
seg_0f74a3,4.7497263
seg_0f8961,6.6966863
seg_0fc67a,7.409669
seg_0fca83,2.9252534
seg_0fd3ff,1.7232918
seg_1010ad,7.1788454
seg_103b32,2.5332098
seg_105cd9,3.9756546
seg_1084af,4.925229
seg_10a595,3.6970773
seg_10c09d,7.2418175
seg_10f3a6,2.8782098
seg_112b81,5.1971674
seg_1144bc,8.848434
seg_114b79,4.7529287
seg_115617,1.8179258
seg_115a92,3.8974745
seg_11647f,4.1561036
seg_117278,4.9437914
seg_117ff4,3.5846415
seg_11860f,3.1604238
seg_1201e8,4.3238487
seg_121446,6.36766
seg_121cba,2.2667391
seg_122ba9,4.0413356
seg_123dd4,6.4061556
seg_12ac20,8.956298
seg_12b9ba,5.5811567
seg_12ee6e,2.455773
seg_130e17,1.8697706
seg_13468a,2.8932629
seg_136285,4.7113037
seg_136695,6.683078
seg_137f8a,6.624874
seg_138807,4.9039803
seg_13c2f0,4.420407
seg_13e25f,5.713131
seg_140bc5,2.279587
seg_141f34,9.379574
seg_146926,9.011036
seg_148698,6.360715
seg_14ad27,1.57118
seg_14c054,6.867554
seg_14c371,6.728103
seg_14c435,4.1236615
seg_14c89d,5.1139984
seg_14c8ce,6.6816826
seg_14d1d3,5.356948
seg_14f5f0,6.3603015
seg_151368,6.1472316
seg_151d92,1.8117057
seg_153d6a,8.233201
seg_154361,6.752466
seg_1562cb,7.0853405
seg_158691,3.1299665
seg_158764,5.62381
seg_15adff,3.730423
seg_15bf25,6.471228
seg_15c9f9,1.6072818
seg_161aeb,7.1414146
seg_161f5f,2.2651665
seg_162fc4,5.8054953
seg_16566c,2.884324
seg_166f70,7.8020825
seg_168d1c,5.778503
seg_16a270,5.313488
seg_16c3a7,4.1909113
seg_17067e,2.662197
seg_170684,8.264727
seg_170a0c,7.8982615
seg_176542,5.758606
seg_17799c,6.0663376
seg_179d90,7.394562
seg_17adc0,2.7100205
seg_17d1ff,4.342449
seg_17e596,6.3155
seg_180481,3.0202038
seg_18096a,5.8233137
seg_1815fe,8.232106
seg_1827c5,8.172253
seg_184222,4.9898415
seg_185ad6,7.2483354
seg_18d1d0,2.730519
seg_18d307,1.0293682
seg_18f633,1.5497247
seg_18f853,4.783531
seg_18fb65,1.1990584
seg_193404,8.443947
seg_19515c,4.961216
seg_195eda,4.2728453
seg_1969c8,6.6223793
seg_19b08e,4.5221744
seg_19b9dd,5.46008
seg_19e1ff,5.449231
seg_19ec5c,9.446151
seg_1a0e94,8.512472
seg_1a0eca,4.1019897
seg_1a671a,4.029064
seg_1a791c,4.853407
seg_1a8e06,1.894662
seg_1a8f0d,2.901896
seg_1a8f2c,6.626627
seg_1abcaf,1.6505142
seg_1ac9e2,4.767856
seg_1ae362,6.069885
seg_1afa29,2.2252672
seg_1b08a4,4.9362593
seg_1b1ad8,3.5240808
seg_1b2298,6.2408333
seg_1b78af,4.8498096
seg_1baf33,4.3658037
seg_1bd38e,7.747771
seg_1bf7b3,1.8115584
seg_1c401b,6.6954274
seg_1c4c5b,4.169509
seg_1c4e72,4.5604286
seg_1c849d,4.498207
seg_1c904f,1.803636
seg_1c929e,3.7768803
seg_1cb942,7.034029
seg_1cd352,5.160969
seg_1cf1b5,4.0413885
seg_1d044c,2.812849
seg_1d11e5,4.3341165
seg_1d596d,4.6327753
seg_1d980f,4.3802853
seg_1da819,2.691894
seg_1db443,5.219268
seg_1db8e8,7.1212606
seg_1dec9c,8.287737
seg_1e0523,2.9137793
seg_1e0b82,6.4421163
seg_1e572b,6.212592
seg_1e617a,4.411553
seg_1e61d6,1.5497743
seg_1e677e,4.9023595
seg_1eae76,4.967514
seg_1ebe6b,2.9836729
seg_1ece48,3.8640227
seg_1eeb8f,2.369656
seg_1ef708,1.8372875
seg_1f1e60,6.559328
seg_1f3d44,5.5868206
seg_1f3ede,3.6251101
seg_1f5240,2.7336836
seg_1f7cf8,2.1011229
seg_1f9aed,5.076584
seg_1fa983,1.7078081
seg_1fc7ab,5.3372264
seg_1fe311,7.1835427
seg_2005a7,4.719001
seg_2018c8,8.390658
seg_204dc6,1.8928422
seg_208ba5,2.1730106
seg_2099f4,5.0807657
seg_20a990,4.4085884
seg_20b8d0,3.305636
seg_20cbac,4.5948973
seg_20cc25,0.73309344
seg_20d9de,9.337953
seg_20e9ad,4.5017023
seg_210388,5.057246
seg_211299,5.636081
seg_211486,7.614238
seg_214492,3.9577718
seg_217eed,2.9998627
seg_218049,2.343141
seg_21eebb,4.371271
seg_21faa9,9.474661
seg_222c5f,1.855768
seg_225320,9.467124
seg_226e60,6.541275
seg_229eda,5.4448037
seg_22e509,4.5626698
seg_2313d1,4.5026503
seg_232559,7.8122244
seg_23323e,2.140326
seg_2367fb,5.9980273
seg_238242,6.3363376
seg_2383c2,5.670741
seg_2396a2,1.5525931
seg_23b123,8.19734
seg_23bdf9,5.5476255
seg_23c947,0.7799147
seg_23efb0,4.949535
seg_23f823,3.5614645
seg_23fe27,6.781562
seg_241266,4.400626
seg_24157a,4.9244795
seg_24458d,2.2599008
seg_2465ce,5.349321
seg_247262,4.5145416
seg_24ba8d,4.2139482
seg_24c078,5.744763
seg_24c1c9,3.8172636
seg_24e071,3.4807537
seg_24f338,1.3326256
seg_257b8a,5.65005
seg_2597af,4.445668
seg_259c63,4.8049345
seg_259d65,4.1305447
seg_259dd3,8.720143
seg_25aa9f,7.843871
seg_25ab3f,2.640107
seg_25b38a,6.1821904
seg_25c8dc,5.4206543
seg_25cca7,6.1459413
seg_25e76d,1.9331187
seg_26049e,7.188038
seg_263deb,3.6978908
seg_263fb3,1.100427
seg_2642d0,4.062678
seg_2642d4,5.079382
seg_264c7d,6.140858
seg_266805,4.4717665
seg_266c6e,3.8403745
seg_266d4e,3.313294
seg_268249,5.2947283
seg_268625,3.9153066
seg_268956,4.36337
seg_26a2a0,0.2552161
seg_26cba3,4.5505695
seg_26edaa,7.809111
seg_2700bd,4.209554
seg_272a47,0.5325721
seg_274a1a,5.189759
seg_2774c4,7.0156336
seg_279725,9.007362
seg_27a282,2.8944583
seg_27b7c8,6.9214106
seg_27db4d,6.5300927
seg_27de37,5.524192
seg_27f532,6.9427314
seg_27ff17,4.7269444
seg_280863,3.023118
seg_280e3b,2.2546775
seg_284223,3.869781
seg_284923,9.915582
seg_287e60,2.1107047
seg_287fef,1.5818635
seg_288001,4.690239
seg_2883ec,7.6068306
seg_289d99,1.676211
seg_28fc32,5.863887
seg_29022f,3.0950885
seg_2916e3,7.6275477
seg_293dbf,3.7032657
seg_293dc2,2.1311882
seg_29475f,1.9777433
seg_295b1c,6.834538
seg_2977cd,4.659137
seg_29a073,4.6821833
seg_29acb7,4.7558765
seg_29c772,4.988407
seg_29c906,4.8115587
seg_29d497,4.692094
seg_29d4c6,7.728666
seg_29e799,5.0110364
seg_2a0ace,8.3441725
seg_2a0afc,4.593652
seg_2a0dc0,7.071063
seg_2a2f1e,5.2550464
seg_2a4551,5.5954347
seg_2a6343,6.4821124
seg_2a8351,2.158227
seg_2aa101,1.7772529
seg_2abd33,2.505153
seg_2b2cb3,5.414381
seg_2b372b,2.9899693
seg_2b4959,4.8512344
seg_2b6d52,7.551427
seg_2ba79a,1.2773756
seg_2bcbde,8.59246
seg_2be983,9.16496
seg_2bf5be,6.8692875
seg_2bf9dd,7.3796997
seg_2c3203,2.2715924
seg_2c5e9f,5.1652813
seg_2c6011,2.6549075
seg_2c69e4,6.2877293
seg_2c762c,5.090433
seg_2cac57,7.2545505
seg_2cadc0,5.231676
seg_2cdbe3,2.6601403
seg_2d3828,4.968483
seg_2d402d,1.4349501
seg_2d427f,1.6665522
seg_2d5544,4.3756547
seg_2d7cc4,4.456424
seg_2d92f0,8.3794985
seg_2db7dc,2.9748273
seg_2dc6ff,0.69335955
seg_2dccec,4.552295
seg_2dcd3a,3.2127934
seg_2dcd84,6.3964567
seg_2dfb91,3.0866582
seg_2e2372,5.9990716
seg_2e50fb,4.224047
seg_2e64af,4.675661
seg_2e71dd,3.1843
seg_2e88dd,5.79704
seg_2e917f,4.20119
seg_2e9a47,4.9352026
seg_2ea616,2.7487328
seg_2eccb9,1.7523059
seg_2ece02,4.710413
seg_2ed79b,3.8207984
seg_2eddf6,6.7872415
seg_2ee95c,8.81028
seg_2efd5c,7.9953
seg_2f1664,5.705121
seg_2f4f14,3.1397088
seg_2f5695,4.274156
seg_2f60db,7.7631054
seg_2f86cd,0.08350682
seg_2f8e19,5.456468
seg_2f8f6d,8.032527
seg_2f9336,4.862561
seg_2f9581,4.645492
seg_2fb672,6.473338
seg_2fe382,4.9781613
seg_301c1e,6.1023912
seg_30207d,7.4767666
seg_304581,4.7189155
seg_304b87,2.335902
seg_304df5,8.519327
seg_30501b,7.5293484
seg_3065ba,4.957214
seg_30661b,4.256966
seg_306756,6.52421
seg_30ad2a,1.8110329
seg_30b043,2.581257
seg_30da11,4.3530927
seg_30fd84,7.821264
seg_310230,2.7540617
seg_31064b,1.5017015
seg_311499,1.6195697
seg_311b5e,1.594715
seg_3128e6,4.4354
seg_3151ff,5.032834
seg_31631c,5.5062447
seg_316f86,2.9477868
seg_318135,1.1379231
seg_31a51f,2.773009
seg_31a6cd,3.0078382
seg_31b808,5.746153
seg_31c0f4,8.233718
seg_31d763,4.058017
seg_31d7bf,1.5672916
seg_31d810,5.5299625
